2026-05-01,,,ARI-CHC,,ATL-COL,,PHI-MIA,,,,CIN-PIT,CHW-SDP,,LAD-STL,MIL-WSH,CLE-ATH,,HOU-BOS,,,TEX-DET,,,NYM-LAA,TOR-MIN,BAL-NYY,KCR-SEA,SFG-TBR,,
2026-05-02,,,ARI-CHC,,ATL-COL,,PHI-MIA,,,,CIN-PIT,CHW-SDP,,LAD-STL,MIL-WSH,CLE-ATH,,HOU-BOS,,,TEX-DET,,,NYM-LAA,TOR-MIN,BAL-NYY,KCR-SEA,SFG-TBR,,
2026-05-03,,,ARI-CHC,,ATL-COL,,PHI-MIA,,,,CIN-PIT,CHW-SDP,,LAD-STL,MIL-WSH,CLE-ATH,,HOU-BOS,,,TEX-DET,,,NYM-LAA,TOR-MIN,BAL-NYY,KCR-SEA,SFG-TBR,,
2026-05-04,,,CIN-CHC,,NYM-COL,,PHI-MIA,,,,,,SDP-SFG,MIL-STL,,,,,,,BOS-DET,LAD-HOU,CLE-KCR,CHW-LAA,,BAL-NYY,ATL-SEA,TOR-TBR,,
2026-05-05,PIT-ARI,,CIN-CHC,,NYM-COL,,BAL-MIA,,,ATH-PHI,,,SDP-SFG,MIL-STL,MIN-WSH,,,,,,BOS-DET,LAD-HOU,CLE-KCR,CHW-LAA,,TEX-NYY,ATL-SEA,TOR-TBR,,
2026-05-06,PIT-ARI,,CIN-CHC,,NYM-COL,,BAL-MIA,,,ATH-PHI,,,SDP-SFG,MIL-STL,MIN-WSH,,,,,,BOS-DET,LAD-HOU,CLE-KCR,CHW-LAA,,TEX-NYY,ATL-SEA,TOR-TBR,,
2026-05-07,PIT-ARI,,CIN-CHC,,,,BAL-MIA,,,ATH-PHI,,STL-SDP,,,MIN-WSH,,,TBR-BOS,,,,,CLE-KCR,,,TEX-NYY,,,,
2026-05-08,NYM-ARI,,,HOU-CIN,,ATL-LAD,WSH-MIA,NYY-MIL,,COL-PHI,,STL-SDP,PIT-SFG,,,,ATH-BAL,TBR-BOS,SEA-CHW,MIN-CLE,,,DET-KCR,,,,,,CHC-TEX,LAA-TOR
2026-05-09,NYM-ARI,,,HOU-CIN,,ATL-LAD,WSH-MIA,NYY-MIL,,COL-PHI,,STL-SDP,PIT-SFG,,,,ATH-BAL,TBR-BOS,SEA-CHW,MIN-CLE,,,DET-KCR,,,,,,CHC-TEX,LAA-TOR
2026-05-10,NYM-ARI,,,HOU-CIN,,ATL-LAD,WSH-MIA,NYY-MIL,,COL-PHI,,STL-SDP,PIT-SFG,,,,ATH-BAL,TBR-BOS,SEA-CHW,MIN-CLE,,,DET-KCR,,,,,,CHC-TEX,LAA-TOR
